Job,Total Compensation
Community Police Services Aide,107422.26
Deputy Court Clerk III,109004.28
Sheriff's Cadet,80189.63
Police Officer,122547.93
Special Nurse,49530.56
Transit Operator,86849.09
Librarian 1,79294.17
Medical Social Worker,105586.66
Sergeant 3,204560.86
Health Worker 2,93398.24
Transit Supervisor,154873.89
Contract Compliance Officer 1,141308.05
Medical Social Worker,108136.04
Special Nurse,121574.95
Transit Supervisor,68189.23
Firefighter,210299.86
Deputy Sheriff,72673.42
Principal Clerk,19598.31
Sheriff's Cadet,73555.45
Registered Nurse,196680.2
Junior Administrative Analyst,71361.67
Community Police Services Aide,95098.61
Senior Social Worker,111351.29
Police Officer 3,198837.11
Public Svc Aide-Public Works,37081.74
Senior Clerk,86855.99
Human Services Technician,86551.02
Librarian 2,129846.66
Registered Nurse,172901.2
"Stdntdsgntrain1, Arch/Eng/Plng",15197.7
Transit Operator,119443.39
HSA Social Worker,99117.27
Special Nurse,22096.58
Nursing Assistant,40244.17
Accountant II,105917.43
Employment & Training Spec 3,119358.54
Nurse Practitioner,74732.7
Police Officer 3,217269.1
Eng/Arch/Landscape Arch Sr,220664.2
Licensed Vocational Nurse,80129.34
Library Page,34406.02
Custodian,93653.01
Senior Stationary Engineer,142242.99
Registered Nurse,157057.04
Emp & Training Spec 4,109878.26
Special Nurse,42842.24
"Manager VI, MTA",209926.88
Stdntdsgn Train2/Arch/Eng/Plng,21723.68
Court Reporter,162837.44
Licensed Vocational Nurse,124636.47
Stationary Engineer,37414.85
Sr Payroll & Personnel Clerk,75570.43
Transit Operator,51014.8
Inspector 3,224517.41
Laboratory Technician II,23502.48
Transit Supervisor,164378.76
Airport Economic Planner,172801.78
Special Nurse,127960.16
Police Officer 3,177217.17
Health Care Analyst,24961.12
Nurse Manager,156042.4
Transit Operator,132073.68
Health Care Billing Clerk 2,99733.71
Project Manager 1,174588.79
Radiologic Tech Sprv,216735.9
Firefighter,122183.95
Registered Nurse,141465.29
Transit Operator,52122.51
Senior Eligibility Worker,135059.08
Firefighter,177406.86
Registered Nurse,194937.39
Registered Nurse,95806.3
Communications Dispatcher 2,32524.79
Registered Nurse,179153.34
Asst Engr,97024.54
Police Officer 3,183629.19
Health Worker 2,82752.08
Clerk,97308.56
Library Page,48380.79
EMT/Paramedic/Firefighter,290460.24
Special Nurse,26366.04
Construction Inspector,61334.06
Food Service Worker,38385.53
Custodian,91198.15
Police Officer,184739.91
Child Care Specialist,67100.38
Registered Nurse,129441.56
"Lieutenant, Fire Suppression",228004.46
EMT/Paramedic/Firefighter,156942.16
Pr Administrative Analyst,163827.63
Public Svc Aide-Public Works,18933.04
Stationary Engineer,138581.01
Senior Parking Control Officer,106666.95
Automotive Mechanic Asst Sprv,164657.0
Nurse Practitioner,17822.82
Custodian,88969.05
Medical Evaluations Assistant,58758.42
IT Operations Support Admin IV,148189.93
Police Officer 3,162563.09
Sergeant 3,190547.01
Police Officer 2,144126.88
Public Svc Aide-Public Works,18504.38
Police Officer,153822.58
Medical Evaluations Assistant,98559.55
Transit Operator,72202.2
IS Programmer Analyst-Senior,118398.12
Library Assistant,77872.35
Transit Operator,98357.02
Power House Operator,158315.38
Medical Evaluations Assistant,47793.65
Truck Driver,120460.91
Psychiatric Social Worker,133133.18
"Counselor, Juvenile Hall",127826.61
Health Program Coordinator 2,103531.13
Planner 2,89521.15
Patient Care Assistant,31536.76
Registered Nurse,144117.33
Transit Planner III,76737.87
Deputy Sheriff,136309.35
Truck Driver,130120.37
Library Page,24955.08
Special Nurse,116824.63
Environmental Service Worker,21047.91
Medical Social Worker,132669.8
Health Worker 2,93378.41
Museum Guard,30593.42
Sheriff's Cadet,41723.43
Medical Records Technician,105430.57
Police Officer 3,198515.18
Dist Atty Investigator (SFERS),112666.04
IS Business Analyst,137026.17
Special Nurse,13794.81
Junior Engineer,18178.33
"Secretary, Health Commission",166621.87
"Manager II, MTA",178268.77
Community Police Services Aide,122180.78
Attorney (Civil/Criminal),237734.74
Deputy Sheriff,140007.78
Assessment Clerk,88075.81
IS Engineer-Journey,161507.45
Senior Account Clerk,99075.18
Senior Clerk,92623.9
Library Technical Assistant 2,111566.03
Transit Car Cleaner,146754.46
Medical Records Clerk,102004.59
Special Nurse,62625.34
Registered Nurse,173370.53
Medical Records Clerk,86902.36
Firefighter,166702.65
Medical Social Worker,92922.33
Police Officer,181143.91
Medical Evaluations Assistant,78472.15
Assoc Engineer,162174.25
Special Nurse,33882.98
Legal Process Clerk,84522.17
Psychiatric Social Worker,145673.75
Management Assistant,19100.76
Window Cleaner,112986.03
Public Safetycomm Disp,180909.99
Special Nurse,138325.73
Transit Supervisor,46559.76
Pr Administrative Analyst,163212.44
Community Police Services Aide,111267.76
Health Care Billing Clerk 2,105458.62
"Stdntdsgntrain1, Arch/Eng/Plng",31599.79
Senior Administrative Analyst,52724.07
Janitorial Services Supervisor,124013.04
"Lieutenant, Fire Suppression",210961.51
X-Ray Laboratory Aide,88041.57
Police Officer 3,201361.15
Sr Community Dev Spec 2,159852.97
Attorney (Civil/Criminal),183800.29
General Laborer,71565.6
Automotive Machinist,125550.03
Deputy Sheriff,173822.11
Cement Mason,94153.63
Public Safetycomm Supv,129210.82
Custodian,91881.17
Electrical Transit System Mech,66261.32
Senior Account Clerk,99043.16
Firefighter,121622.43
Recreation Leader,32020.15
Library Assistant,90920.5
Electronic Maintenance Tech,166556.8
Secretary 2,100313.04
Sprv Adult Probation Ofc,150680.08
Transit Supervisor,82030.23
Health Worker 2,94841.4
Special Nurse,20310.19
Transit Operator,49858.64
Maintenance Machinist,127745.09
Invstgtor Ofc Citizen Cmplnts,15439.23
Police Officer,201262.47
Administrative Services Mgr,145205.25
Deputy Court Clerk III,131783.34
Admission Attendant,87044.58
Transit Operator,106423.88
Transit Operator,19926.52
Publ Svc Aide-Asst To Prof,35706.59
Custodian,89293.82
Orthopedic Technician 1,96862.82
Medical Evaluations Assistant,58629.26
Senior Clerk Typist,92674.66
Firefighter,217122.84
IS Business Analyst-Principal,178449.95
Eng/Arch/Landscape Arch Sr,215007.55
Principal Real Property Ofc,192192.08
Patient Care Assistant,111562.27
Court Interpreter,88573.99
Lieutenant (Police Department),32612.79
Patient Care Assistant,92114.55
Patient Care Assistant,32859.95
Transit Supervisor,50327.43
Unit Clerk,97587.83
Patient Care Assistant,100743.26
"Lieutenant, Fire Suppression",63717.46
IS Engineer-Journey,172624.51
Accountant III,43010.6
IS Business Analyst-Principal,178497.01
Medical Evaluations Assistant,95828.39
Sergeant 3,216541.86
Social Worker,102493.72
Asst Engr,21925.09
Carpenter,129774.22
Aquatics Facility Supervisor,109704.7
Senior Clerk Typist,67401.46
Clerk,86320.0
Emergency Med Svcs Agency Spec,161019.32
PS Aide Health Services,26042.17
Patient Care Assistant,82647.96
HSA Social Worker,110266.81
Transit Power Line Sprv1,94148.55
Transit Car Cleaner,92071.87
Deputy Sheriff,157425.48
Public Service Trainee,19102.78
Utility Plumber,144566.82
Hospital Eligiblity Worker,26158.73
Transit Operator,136436.39
Eligibility Worker Supervisor,122421.39
Senior Eligibility Worker,75584.1
Transit Operator,21956.22
General Laborer,95207.42
Nursing Assistant,29207.13
Senior Stationary Engineer,25783.15
Health Worker 3,101111.46
Stationary Engineer,15059.83
Secretary 2,100875.49
"Operating Engineer, Universal",148542.93
"Sr Marriage, Fam & Cld Cnslr",139919.17
Chief Water Service Inspector,212558.6
Pr Administrative Analyst,163397.84
Firefighter,178165.17
Pharmacy Technician,120120.72
Legal Secretary 1,114957.81
Principal Account Clerk,93923.75
Registered Nurse,196852.26
Special Nurse,67761.58
Medical Evaluations Assistant,59633.78
Senior Eligibility Worker,85540.17
Police Officer 3,197296.18
Senior Administrative Analyst,92284.92
"Lieutenant, Fire Suppression",211996.98
Gardener,97843.96
Pr Administrative Analyst,163645.77
Transit Operator,119863.1
Traffic Survey Technician,110652.53
Nurse Practitioner,215320.46
Clerk,83594.53
Sergeant 3,190076.4
Psychiatric Social Worker,138479.34
Deputy Court Clerk II,109445.43
Transit Operator,140593.31
EMT/Paramedic/Firefighter,76753.09
Registered Nurse,192297.37
Public Health Nurse,169029.05
Licensed Vocational Nurse,113520.34
Heavy Equipment Ops Sprv,54757.29
Public Svc Aide-Public Works,24604.74
EMT/Paramedic/Firefighter,171261.11
"Operating Engineer, Universal",22435.2
Attorney (Civil/Criminal),141871.2
Special Nurse,18117.71
Porter,16678.64
Firefighter,212801.91
Legal Process Clerk,88739.67
Clerk,69726.48
Senior Eligibility Worker,18167.94
Patient Care Assistant,99180.45
Special Nurse,40567.22
Transit Supervisor,88618.68
Special Nurse,22118.68
Public Svc Aide-Public Works,28660.3
Public Safetycomm Disp,172981.87
Transit Operator,67645.79
Inspector 3,211244.47
Transit Operator,87608.69
Senior Clerk Typist,92003.39
Architectural Assistant 1,20524.38
Police Officer,53576.1
"Lieutenant, Fire Suppression",251583.81
EMT/Paramedic/Firefighter,286430.0
IS Business Analyst-Senior,134328.83
Electronic Maintenance Tech,177509.9
Patient Svcs Finance Tech,32880.9
Senior Eligibility Worker,109199.68
Transit Car Cleaner,32595.78
"Captain, Fire Suppression",158713.83
Dept Head IV,323797.73
Museum Guard,24272.88
Transit Supervisor,132870.38
Senior Water Services Clerk,103612.95
Registered Nurse,191580.83
Police Officer 2,46890.25
Senior Personnel Analyst,149910.6
Swimming Instructor,14760.57
Special Nurse,141604.93
"Insp, Fire Dept",136440.76
Eligibility Worker Supervisor,152177.53
Manager VII,266741.58
Special Nurse,139319.11
Police Officer,161400.23
Custodian,87443.66
Transit Operator,61807.95
Asst Engr,135619.41
Food Service Worker,26089.99
Employment & Training Spec 1,47583.84
Physical Therapist,126776.87
Health Care Billing Clerk 2,62810.41
Health Care Analyst,129754.04
Sign Worker,99639.18
Employment & Training Spec 3,112824.2
Clinical Psychologist,75554.02
Accountant IV,158109.23
Special Nurse,12793.91
Parking Control Officer,92469.46
Sergeant 3,196797.19
Animal Control Officer,68876.51
Senior Water Services Clerk,90657.0
Dep Dir IV,263576.96
Recreation Leader,16532.09
Registered Nurse,213537.81
IS Business Analyst,137296.81
Senior Account Clerk,98799.0
Deputy Probation Officer,135998.05
Special Nurse,30576.5
Special Nurse,153811.53
Transit Operator,126052.22
Accountant III,53668.89
Police Officer 2,200391.08
Parking Control Officer,103012.88
Sheriff's Lieutenant,212035.83
Public Svc Aide-Public Works,56926.66
Child Support Officer III,132071.45
Electrician Supervisor 1,159704.47
Apprentice Gardener,78443.74
Payroll Clerk,88520.64
Porter,24994.93
Firefighter,142394.45
Police Officer,157577.23
Permit Technician I,43439.26
Registered Nurse,56797.02
Patient Accounts Supervisor,129285.43
IT Operations Support Admin IV,63829.71
Psychiatric Social Worker,20711.32
"Insp, Fire Dept",216669.3
"Stdntdsgntrain3, Arch/Eng/Plng",17175.19
IS Prg Analyst-Principal,163866.0
Real Property Appraiser,108551.48
Deputy Probation Officer,124823.67
Special Nurse,59650.29
Police Officer 2,169418.57
Legal Secretary 1,114578.75
Custodian,89447.12
Patient Care Assistant,96913.75
Communications Systems Tech,226475.02
Food Service Worker,72016.1
Special Nurse,49854.43
Patient Care Assistant,111880.11
Asst General Services Manager,101694.92
Custodian,88530.4
Utility Plumber Apprentice,38685.36
IS Programmer Analyst-Senior,119081.75
Special Nurse,91416.39
Pr Administrative Analyst,71324.43
Registered Nurse,71478.28
Arborist Technician Supervisor,140958.59
Transit Operator,134446.16
Gardener,98424.91
Special Nurse,57749.86
Personal Property Auditor,71878.05
Transit Operator,71663.57
Mental Hlth Treatment Spec,130300.91
Health Worker 4,82650.87
Custodian,40812.42
Police Officer 2,123130.65
Health Worker 2,22487.52
Admin Analyst 3,116320.36
Nurse Practitioner,228551.09
Diagnostic Imaging Tech II,29718.48
General Laborer,98861.47
Asr-Office Assistant,39426.81
Public Service Trainee,24098.56
Executive Secretary 1,108784.16
Custodian,86351.19
Public Service Trainee,30040.84
Special Nurse,51052.31
Accountant II,116880.87
Police Officer 3,168706.46
Transit Car Cleaner,130464.35
Manager II,187540.14
Transit Operator,129766.95
Diagnostic Imaging Tech II,126807.8
Library Page,40249.34
Eligibility Worker,84612.16
Custodian,29805.35
Deputy Court Clerk III,131381.89
Manager III,203457.28
Assistant Storekeeper,102589.87
Registered Nurse,74641.08
Watershed Keeper,91071.85
Registered Nurse,208069.26
Transit Supervisor,120785.21
Home Health Aide,76627.2
Electronic Maintenance Tech,131823.69
Psychiatric Social Worker,131746.65
Lieutenant 3,50499.55
Cook,63255.57
Inspector 3,120327.59
IT Operations Support Admin II,98772.39
Recreation Leader,18014.6
Special Nurse,72648.97
Deputy Sheriff,196281.71
Patient Care Assistant,105442.62
Automotive Machinist Sprv 1,179320.27
Project Manager 3,234919.18
"Research Asst, Superior Court",94964.26
"Marriage, Family & Child Cnslr",133761.93
Electrical Transit System Mech,139407.25
Administrative Analyst,30623.39
Patient Care Assistant,61175.44
Medical Social Work Supervisor,90258.53
Perf Analyst III Project Mgr,178052.45
Transit Operator,62208.04
Public Safetycomm Disp,131455.76
Public Svc Aide-Public Works,71317.9
Librarian 1,61390.24
Social Work Specialist,117566.81
Cook,100703.17
Nursing Assistant,148050.43
Institutional Police Officer,141002.83
Registered Nurse,90386.75
Fare Collections Receiver,100679.68
Registered Nurse,197626.06
Registered Nurse,124897.08
Public Svc Aide-Public Works,27014.87
Electrical Transit System Mech,112824.51
Criminalist I,128752.66
Personnel Analyst,51548.08
Stationary Engineer,119134.74
Senior Clerk,71441.5
Transit Operator,155035.97
Attorney (Civil/Criminal),210957.8
Project Manager 1,157122.5
Porter,91657.56
"Invstgtor,Fire Dept",25137.66
Commercial Div Asst Sprv,78730.6
Police Cadet,21687.65
Special Nurse,26855.84
Legal Secretary 1,105231.27
Registered Nurse,164304.01
Gardener,99482.44
Electrical Line Worker,151644.78
Transit Operator,48561.86
Police Officer,278450.52
Principal Clerk,108027.02
Sergeant 3,201192.23
IS Engineer-Principal,193537.46
Personnel Clerk,82111.29
Recreation Coordinator,20224.49
Custodian,90927.73
Police Officer,33700.88
Chf Payroll & Personnel Clerk,135957.31
Manager IV,79352.5
Registered Nurse,240800.7
Sergeant 3,219772.18
Senior Legal Process Clerk,36805.23
Library Assistant,57749.97
Public Service Trainee,49655.49
Registered Nurse,203770.4
Firefighter,196285.38
Automotive Mechanic,120972.88
Electronic Maintenance Tech,162974.46
Police Officer 3,157709.33
Automotive Mechanic Sprv 1,188118.67
Child Care Specialist,77375.66
Licensed Vocational Nurse,119964.33
Asst Med Examiner,307823.57
Registered Nurse,170718.21
Aprnt  Stationary Engineer I,17303.69
Lieutenant 3,229566.18
Aquatics Facility Asst Supv,36511.18
Transit Operator,179395.99
Automotive Mechanic,140051.9
Dep Dir V,287845.08
Custodian,96183.76
Transit Operator,103008.12
"Div Director, Adult Probation",178746.92
Librarian 2,128532.36
Surgical Procedures Technician,99698.59
Public Safetycomm Disp,171007.16
Transit Operator,130596.69
Police Officer,34162.15
Pharmacy Technician,121515.47
"Stdntdsgntrain1, Arch/Eng/Plng",19350.04
IS Engineer-Principal,198210.75
Social Work Specialist,104077.33
IT Operations Support Admn III,133696.29
Psychiatric Social Worker,89263.5
Police Officer 3,174474.12
Fire Rescue Paramedic,229962.13
Physician Specialist,280495.22
Police Officer,49472.74
General Laborer,62193.32
Senior Physician Specialist,303311.81
Planner 4,157883.26
Parking Control Officer,88375.93
Police Officer,167277.5
Porter,90366.74
Inspector 3,178073.12
Principal Account Clerk,42891.8
Custodian,94776.92
"Captain, Fire Suppression",223729.16
Manager V,248913.18
Child Support Officer II,114225.14
Medical Records Clerk,28019.23
Executive Secretary 1,107984.35
Sergeant 3,199762.22
Housekeeper/Food Service Clnr,79207.4
Customer Service Agent,42462.86
Customer Service Agent,111605.68
Senior Comm Systems Technican,85629.65
Carpenter,130882.14
Accountant Intern,26619.27
Patient Care Assistant,91941.91
Registered Nurse,89387.15
Clerk,83915.3
Senior Deputy Sheriff,205841.67
Dep Dir V,283535.35
Transit Supervisor,147350.15
Public Svc Aide-Public Works,27259.21
Transit Operator,32439.72
Firefighter,131873.55
Police Officer,192187.48
Attorney (Civil/Criminal),104124.39
Recreation Leader,17010.03
"Srclaimsinvstgtor,Cty Atty Ofc",160631.86
Junior Administrative Analyst,83036.44
General Laborer Supervisor 1,114503.58
Senior Parking Control Officer,77076.84
Police Officer,61971.58
Real Property Appraiser,40225.83
Transit Fare Inspector,92523.26
Senior Eligibility Worker,118662.66
Transit Operator,119268.58
"Counselor, Log Cabin Ranch",123020.19
Deputy Sheriff,160133.45
